%  label: Fitness-sharing, 17/03/26 01-41-05
%  population_size: 2048
%  mutation_rate: 0.45
%  max_iterations: 800000
%  selection_method: Tournement
%  t_size: 4
%  brood_size: 2
%  min_start_len: 2
%  max_start_len: 32
%  max_len: 256
%  fit_goal: 0.1
%  cuckoo_rate: 0.15
%  threads: 4
%  num_demes: 1
%  migration: 0.05
%  use_viscosity: true
%  outregs: [4, 5, 6]
%  inregs: [0, 1, 2, 3]
%  binary_path: /home/oblivia/Projects/roper/data/tomato-RT-N18U-httpd
%  fitness_sharing: true
%  fatal_crash: false

ITERATION,SEASON,AVG-GEN,AVG-FIT,AVG-ABFIT,MIN-FIT,MIN-ABFIT,CRASH,BEST-GEN,BEST-FIT,BEST-ABFIT,BEST-CRASH,AVG-LENGTH,BEST-LENGTH,UNSEEN
1,0,0.0009765625,0.98847455,0.6666667,0.98847455,0.6666667,1,0,0.98847455,0.6666667,1,16.447266,29,0.9995117
2,0,0.001953125,0.80480045,0.6666667,0.4444447,0.6666667,0.6666667,0,0.98847455,0.6666667,1,16.436523,29,0.99853516
3,0,0.0029296875,0.76541984,0.6666667,0.4444447,0.6666667,0.6,0,0.98847455,0.6666667,1,16.425293,29,0.9975586
4,0,0.00390625,0.7504323,0.6666666,0.4444447,0.6666667,0.5714286,0,0.98847455,0.6666667,1,16.416016,29,0.99658203
5,0,0.0048828125,0.68243504,0.6666666,0.4444447,0.6666667,0.44444445,0,0.98847455,0.6666667,1,16.405762,29,0.99560547
6,0,0.005859375,0.63916403,0.66666657,0.4444447,0.6666667,0.36363637,0,0.98847455,0.6666667,1,16.41504,29,0.9946289
7,0,0.0068359375,0.65097106,0.6666666,0.4444447,0.6666667,0.3846154,0,0.98847455,0.6666667,1,16.409668,29,0.99365234
8,0,0.0078125,0.6234342,0.6666667,0.4444447,0.6666667,0.33333334,0,0.98847455,0.6666667,1,16.434082,29,0.9926758
9,0,0.0087890625,0.6023766,0.6666667,0.4444447,0.6666667,0.29411766,0,0.98847455,0.6666667,1,16.436035,29,0.9916992
10,0,0.009765625,0.5857522,0.66666675,0.4444447,0.6666667,0.2631579,0,0.98847455,0.6666667,1,16.438477,29,0.99072266
11,0,0.0107421875,0.57229435,0.66666675,0.4444447,0.6666667,0.23809524,0,0.98847455,0.6666667,1,16.43164,29,0.9897461
12,0,0.01171875,0.58443147,0.6666668,0.4444447,0.6666667,0.26086956,0,0.98847455,0.6666667,1,16.413574,29,0.98876953
13,0,0.0126953125,0.5999695,0.67413336,0.4444447,0.6666667,0.28,0,0.98847455,0.6666667,1,16.394531,29,0.98779297
14,0,0.013671875,0.5939878,0.6738462,0.4444447,0.6666667,0.26923078,0,0.98847455,0.6666667,1,16.385742,29,0.9873047
15,0,0.0146484375,0.5833062,0.6733333,0.4444447,0.6666667,0.25,0,0.98847455,0.6666667,1,16.378906,29,0.9863281
16,0,0.015625,0.57404876,0.6728888,0.4444447,0.6666667,0.23333333,0,0.98847455,0.6666667,1,16.362793,29,0.98535156
17,0,0.016601563,0.5829322,0.6724999,0.4444447,0.6666667,0.25,0,0.98847455,0.6666667,1,16.358398,29,0.984375
18,0,0.017578125,0.59506553,0.6723231,0.4444447,0.6666667,0.27272728,0,0.98847455,0.6666667,1,16.368164,29,0.9838867
19,0,0.018554688,0.5864586,0.6719999,0.4444447,0.6666667,0.25714287,0,0.98847455,0.6666667,1,16.350586,29,0.98291016
20,0,0.01953125,0.5787822,0.67171156,0.4444447,0.6666667,0.24324325,0,0.98847455,0.6666667,1,16.353516,29,0.9819336
21,0,0.020507813,0.5787822,0.67171156,0.4444447,0.6666667,0.24324325,0,0.98847455,0.6666667,1,16.338867,29,0.9819336
22,0,0.021484375,0.575247,0.67157876,0.4444447,0.6666667,0.23684211,0,0.98847455,0.6666667,1,16.330566,29,0.9814453
23,0,0.022460938,0.56870687,0.67133313,0.4444447,0.6666667,0.225,0,0.98847455,0.6666667,1,16.325684,29,0.98046875
24,0,0.0234375,0.57572776,0.67111087,0.4444447,0.6666667,0.23809524,0,0.98847455,0.6666667,1,16.314941,29,0.9794922
25,0,0.024414063,0.5726747,0.6710075,0.4444447,0.6666667,0.23255815,0,0.98847455,0.6666667,1,16.317871,29,0.9790039
26,0,0.025390625,0.5669756,0.6708146,0.4444447,0.6666667,0.22222222,0,0.98847455,0.6666667,1,16.298828,29,0.97802734
27,0,0.026367188,0.5617615,0.670638,0.4444447,0.6666667,0.21276596,0,0.98847455,0.6666667,1,16.313965,29,0.9770508
28,0,0.02734375,0.56762147,0.67047596,0.4444447,0.6666667,0.2244898,0,0.98847455,0.6666667,1,16.30371,29,0.9760742
29,0,0.029296875,0.562791,0.6703266,0.4444447,0.6666667,0.21568628,0,0.98847455,0.6666667,1,16.282227,29,0.97509766
30,0,0.030273438,0.5686759,0.67018855,0.4444447,0.6666667,0.2264151,0,0.98847455,0.6666667,1,16.276855,29,0.9741211
31,0,0.03125,0.56637526,0.67012334,0.4444447,0.6666667,0.22222222,0,0.98847455,0.6666667,1,16.279297,29,0.9736328
32,0,0.032226563,0.5717726,0.66999996,0.4444447,0.6666667,0.23214285,0,0.98847455,0.6666667,1,16.28711,29,0.97265625
33,0,0.034179688,0.5695388,0.6699415,0.4444447,0.6666667,0.22807017,0,0.98847455,0.6666667,1,16.277344,29,0.97216797
34,0,0.03515625,0.56738204,0.66988504,0.4444447,0.6666667,0.22413793,0,0.98847455,0.6666667,1,16.288086,29,0.9716797
35,0,0.036132813,0.5652984,0.6698305,0.4444447,0.6666667,0.22033899,0,0.98847455,0.6666667,1,16.280273,29,0.9711914
36,0,0.036621094,0.561336,0.66972685,0.4444447,0.6666667,0.21311475,0,0.98847455,0.6666667,1,16.286133,29,0.97021484
37,0,0.037597656,0.55945057,0.6696775,0.4444447,0.6666667,0.20967741,0,0.98847455,0.6666667,1,16.28418,29,0.96972656
38,0,0.03857422,0.56442976,0.66958344,0.4444447,0.6666667,0.21875,0,0.98847455,0.6666667,1,16.273926,29,0.96875
39,0,0.03955078,0.56886655,0.6694951,0.4444447,0.6666667,0.22727273,0,0.98847455,0.6666667,1,16.25879,29,0.96777344
40,0,0.041503906,0.57314104,0.66941196,0.4444447,0.6666667,0.23529412,0,0.98847455,0.6666667,1,16.28711,29,0.9667969
41,0,0.04248047,0.569464,0.6693335,0.4444447,0.6666667,0.22857143,0,0.98847455,0.6666667,1,16.293945,29,0.9658203
42,0,0.044433594,0.5659913,0.6692595,0.4444447,0.6666667,0.22222222,0,0.98847455,0.6666667,1,16.280273,29,0.96484375
43,0,0.044921875,0.57006145,0.66918945,0.4444447,0.6666667,0.22972973,0,0.98847455,0.6666667,1,16.27295,29,0.9638672
44,0,0.047851563,0.5667558,0.6691231,0.4444447,0.6666667,0.2236842,0,0.98847455,0.6666667,1,16.263672,29,0.9628906
45,0,0.048828125,0.5718782,0.66917783,0.4444447,0.6666667,0.23376623,0,0.98847455,0.6666667,1,16.257813,29,0.96240234
46,0,0.049804688,0.5702445,0.66914564,0.4444447,0.6666667,0.23076923,0,0.98847455,0.6666667,1,16.250488,29,0.96191406
47,0,0.05029297,0.57399595,0.6690837,0.4444447,0.6666667,0.2375,0,0.98847455,0.6666667,1,16.256836,29,0.9609375
48,0,0.05126953,0.5723965,0.66905385,0.4444447,0.6666667,0.2345679,0,0.98847455,0.6666667,1,16.248047,29,0.9604492
49,0,0.052246094,0.56931335,0.6689964,0.4444447,0.6666667,0.22891566,0,0.98847455,0.6666667,1,16.243164,29,0.95947266
50,0,0.053222656,0.56637526,0.6689416,0.4444447,0.6666667,0.22352941,0,0.98847455,0.6666667,1,16.24414,29,0.9584961
51,0,0.05419922,0.56357235,0.66888934,0.4444447,0.6666667,0.21839081,0,0.98847455,0.6666667,1,16.248535,29,0.95751953
52,0,0.05517578,0.5608953,0.6688394,0.4444447,0.6666667,0.21348314,0,0.98847455,0.6666667,1,16.246094,29,0.95654297
53,0,0.056152344,0.5596015,0.66881526,0.4444447,0.6666667,0.21111111,0,0.98847455,0.6666667,1,16.238281,29,0.9560547
54,0,0.05810547,0.5570981,0.6687685,0.4444447,0.6666667,0.20652173,0,0.98847455,0.6666667,1,16.240723,29,0.9550781
55,0,0.060058594,0.55470127,0.6687239,0.4444447,0.6666667,0.20212767,0,0.98847455,0.6666667,1,16.240723,29,0.95410156
56,0,0.061035156,0.5524043,0.66868097,0.4444447,0.6666667,0.19791667,0,0.98847455,0.6666667,1,16.234863,29,0.953125
57,0,0.061523438,0.5614381,0.66863984,0.4444447,0.6666667,0.21428572,0,0.98847455,0.6666667,1,16.225098,29,0.95214844
58,0,0.0625,0.55909824,0.6686003,0.4444447,0.6666667,0.21,0,0.98847455,0.6666667,1,16.236816,29,0.9511719
59,0,0.06347656,0.5621516,0.66856235,0.4444447,0.6666667,0.21568628,0,0.98847455,0.6666667,1,16.229492,29,0.9501953
60,0,0.064453125,0.55988806,0.6685258,0.4444447,0.6666667,0.21153846,0,0.98847455,0.6666667,1,16.22998,29,0.94921875
61,0,0.06542969,0.5587886,0.6685081,0.4444447,0.6666667,0.20952381,0,0.98847455,0.6666667,1,16.218262,29,0.94873047
62,0,0.06640625,0.55770993,0.6684907,0.4444447,0.6666667,0.20754717,0,0.98847455,0.6666667,1,16.21045,29,0.9482422
63,0,0.06738281,0.5606929,0.6684569,0.4444447,0.6666667,0.21296297,0,0.98847455,0.6666667,1,16.21582,29,0.9472656
64,0,0.068359375,0.55857927,0.6684243,0.4444447,0.6666667,0.2090909,0,0.98847455,0.6666667,1,16.20996,29,0.94628906
65,0,0.07128906,0.5565412,0.66839284,0.4444447,0.6666667,0.20535715,0,0.98847455,0.6666667,1,16.20166,29,0.9453125
66,0,0.07324219,0.5545746,0.6683626,0.4444447,0.6666667,0.20175439,0,0.98847455,0.6666667,1,16.222656,29,0.94433594
67,0,0.07519531,0.5573928,0.6683333,0.4444447,0.6666667,0.20689656,0,0.98847455,0.6666667,1,16.20996,29,0.9433594
68,0,0.076171875,0.5610752,0.66831905,0.4444447,0.6666667,0.21367522,0,0.98847455,0.6666667,1,16.205566,29,0.9428711
69,0,0.07714844,0.55911505,0.6682912,0.4444447,0.6666667,0.21008404,0,0.98847455,0.6666667,1,16.21045,29,0.94189453
70,0,0.07910156,0.5572197,0.6682643,0.4444447,0.6666667,0.20661157,0,0.98847455,0.6666667,1,16.217773,29,0.94091797
71,0,0.080078125,0.5562953,0.6682512,0.4444447,0.6666667,0.20491803,0,0.98847455,0.6666667,1,16.205566,29,0.9404297
72,0,0.08105469,0.56329566,0.66822565,0.4444447,0.6666667,0.21774194,0,0.98847455,0.6666667,1,16.188965,29,0.9394531
73,0,0.08203125,0.56234485,0.6682131,0.4444447,0.6666667,0.216,0,0.98847455,0.6666667,1,16.19629,29,0.93896484
74,0,0.08300781,0.56048816,0.66818875,0.4444447,0.6666667,0.21259843,0,0.98847455,0.6666667,1,16.20166,29,0.9379883
75,0,0.083984375,0.5595816,0.66817683,0.4444447,0.6666667,0.2109375,0,0.98847455,0.6666667,1,16.192383,29,0.9375
76,0,0.08496094,0.56203306,0.6681536,0.4444447,0.6666667,0.21538462,0,0.98847455,0.6666667,1,16.18457,29,0.93652344
77,0,0.0859375,0.5602514,0.668131,0.4444447,0.6666667,0.21212122,0,0.98847455,0.6666667,1,16.19336,29,0.9355469
78,0,0.08691406,0.55852294,0.6681091,0.4444447,0.6666667,0.20895523,0,0.98847455,0.6666667,1,16.191895,29,0.9345703
79,0,0.087890625,0.55767787,0.6680984,0.4444447,0.6666667,0.2074074,0,0.98847455,0.6666667,1,16.19043,29,0.93408203
80,0,0.08886719,0.5560248,0.66807747,0.4444447,0.6666667,0.20437956,0,0.98847455,0.6666667,1,16.183105,29,0.93310547
81,0,0.08984375,0.55521625,0.6680672,0.4444447,0.6666667,0.20289855,0,0.98847455,0.6666667,1,16.190918,29,0.9326172
82,0,0.09082031,0.55521625,0.6680672,0.4444447,0.6666667,0.20289855,0,0.98847455,0.6666667,1,16.191406,29,0.9326172
83,0,0.09277344,0.55363375,0.6680472,0.4444447,0.6666667,0.2,0,0.98847455,0.6666667,1,16.182617,29,0.9316406
84,0,0.09375,0.55285937,0.66803735,0.4444447,0.6666667,0.19858156,0,0.98847455,0.6666667,1,16.163574,29,0.93115234
85,0,0.095703125,0.55905634,0.66801816,0.4444447,0.6666667,0.20979021,0,0.98847455,0.6666667,1,16.151367,29,0.9301758
86,0,0.09765625,0.56010306,0.669011,0.4444447,0.6666667,0.2137931,0,0.98847455,0.6666667,1,16.153809,29,0.9291992
87,0,0.099609375,0.56010306,0.669011,0.4444447,0.6666667,0.2137931,0,0.98847455,0.6666667,1,16.15332,29,0.9291992
88,0,0.10058594,0.5621432,0.66897905,0.4444447,0.6666667,0.21768707,0,0.98847455,0.6666667,1,16.143066,29,0.92822266
89,0,0.1015625,0.5678756,0.6690374,0.4444447,0.6666667,0.22818792,0,0.98847455,0.6666667,1,16.152832,29,0.9272461
90,0,0.10253906,0.5678756,0.6690374,0.4444447,0.6666667,0.22818792,0,0.98847455,0.6666667,1,16.149902,29,0.9272461
91,0,0.103515625,0.5662408,0.669006,0.4444447,0.6666667,0.22516556,0,0.98847455,0.6666667,1,16.14746,29,0.92626953
92,0,0.10595703,0.5646486,0.66897535,0.4444447,0.6666667,0.22222222,0,0.98847455,0.6666667,1,16.13916,29,0.92529297
93,0,0.106933594,0.56309766,0.66894555,0.4444447,0.6666667,0.21935484,0,0.98847455,0.6666667,1,16.143066,29,0.9243164
94,0,0.107910156,0.5623371,0.66893095,0.4444447,0.6666667,0.21794872,0,0.98847455,0.6666667,1,16.126953,29,0.9238281
95,0,0.10888672,0.56430984,0.6689022,0.4444447,0.6666667,0.221519,0,0.98847455,0.6666667,1,16.115723,29,0.92285156
96,0,0.10986328,0.5696822,0.66887426,0.4444447,0.6666667,0.23125,0,0.98847455,0.6666667,1,16.121582,29,0.921875
97,0,0.110839844,0.568136,0.66884696,0.4444447,0.6666667,0.22839506,0,0.98847455,0.6666667,1,16.123535,29,0.92089844
98,0,0.11279297,0.5673772,0.6688336,0.4444447,0.6666667,0.22699386,0,0.98847455,0.6666667,1,16.129395,29,0.92041016
99,0,0.11376953,0.56921256,0.66880727,0.4444447,0.6666667,0.23030303,0,0.98847455,0.6666667,1,16.129883,29,0.9194336
100,0,0.114746094,0.5716519,0.6687944,0.4444447,0.6666667,0.23493975,0,0.98847455,0.6666667,1,16.151855,29,0.9189453
101,0,0.11669922,0.5701375,0.668769,0.4444447,0.6666667,0.23214285,0,0.98847455,0.6666667,1,16.14795,29,0.91796875
102,0,0.11767578,0.5718512,0.66874427,0.4444447,0.6666667,0.23529412,0,0.98847455,0.6666667,1,16.140137,29,0.9169922
103,0,0.118652344,0.5711061,0.6687321,0.4444447,0.6666667,0.23391813,0,0.98847455,0.6666667,1,16.124512,29,0.9165039
104,0,0.119628906,0.56964177,0.6687082,0.4444447,0.6666667,0.23121387,0,0.98847455,0.6666667,1,16.109375,29,0.91552734
105,0,0.12060547,0.56964177,0.6687082,0.4444447,0.6666667,0.23121387,0,0.98847455,0.6666667,1,16.091797,29,0.91552734
106,0,0.12158203,0.56821096,0.66868484,0.4444447,0.6666667,0.22857143,0,0.98847455,0.6666667,1,16.07959,29,0.9145508
107,0,0.123535156,0.56750774,0.66867334,0.4444447,0.6666667,0.22727273,0,0.98847455,0.6666667,1,16.071777,29,0.9140625
108,0,0.12451172,0.569232,0.66865075,0.4444447,0.6666667,0.23033708,0,0.98847455,0.6666667,1,16.062012,29,0.91308594
109,0,0.12548828,0.56784546,0.6686287,0.4444447,0.6666667,0.22777778,0,0.98847455,0.6666667,1,16.063477,29,0.9121094
110,0,0.12646484,0.56951255,0.6686071,0.4444447,0.6666667,0.23076923,0,0.98847455,0.6666667,1,16.071777,29,0.9111328
111,0,0.1274414,0.57108516,0.66858596,0.4444447,0.6666667,0.23369566,0,0.98847455,0.6666667,1,16.055664,29,0.91015625
112,0,0.12841797,0.57264125,0.66856533,0.4444447,0.6666667,0.23655914,0,0.98847455,0.6666667,1,16.04834,29,0.9091797
113,0,0.1303711,0.5719557,0.66855514,0.4444447,0.6666667,0.23529412,0,0.98847455,0.6666667,1,16.047363,29,0.9086914
114,0,0.13134766,0.57350343,0.6685351,0.4444447,0.6666667,0.23809524,0,0.98847455,0.6666667,1,16.041992,29,0.90771484
115,0,0.13232422,0.57491297,0.66851556,0.4444447,0.6666667,0.2408377,0,0.98847455,0.6666667,1,16.03955,29,0.9067383
116,0,0.13330078,0.5792569,0.66849643,0.4444447,0.6666667,0.24870466,0,0.98847455,0.6666667,1,16.027344,29,0.9057617
117,0,0.13427734,0.57856196,0.668487,0.4444447,0.6666667,0.24742268,0,0.98847455,0.6666667,1,16.019043,29,0.90527344
118,0,0.1352539,0.58072317,0.6684777,0.4444447,0.6666667,0.25128207,0,0.98847455,0.6666667,1,16.013672,29,0.90478516
119,0,0.13623047,0.5821212,0.6684594,0.4444447,0.6666667,0.2538071,0,0.98847455,0.6666667,1,16.005371,29,0.9038086
120,0,0.13720703,0.5834742,0.6684415,0.4444447,0.6666667,0.2562814,0,0.98847455,0.6666667,1,15.998047,29,0.90283203
121,0,0.13769531,0.58277905,0.6684326,0.4444447,0.6666667,0.255,0,0.98847455,0.6666667,1,16.007324,29,0.90234375
122,0,0.13964844,0.5814094,0.6684152,0.4444447,0.6666667,0.25247526,0,0.98847455,0.6666667,1,16.01123,29,0.9013672
123,0,0.13964844,0.58006656,0.6683981,0.4444447,0.6666667,0.25,0,0.98847455,0.6666667,1,16.005371,29,0.9003906
124,0,0.14013672,0.58006656,0.6683981,0.4444447,0.6666667,0.25,0,0.98847455,0.6666667,1,16.003418,29,0.9003906
125,0,0.14208984,0.57940495,0.6683897,0.4444447,0.6666667,0.24878049,0,0.98847455,0.6666667,1,15.999023,29,0.89990234
126,0,0.1430664,0.578101,0.66837305,0.4444447,0.6666667,0.24637681,0,0.98847455,0.6666667,1,15.998047,29,0.8989258
127,0,0.14404297,0.57745844,0.6683649,0.4444447,0.6666667,0.2451923,0,0.98847455,0.6666667,1,15.99707,29,0.8984375
128,0,0.14501953,0.5813603,0.6683488,0.4444447,0.6666667,0.25238097,0,0.98847455,0.6666667,1,16.000977,29,0.89746094
129,0,0.1459961,0.58071136,0.6683408,0.4444447,0.6666667,0.25118482,0,0.98847455,0.6666667,1,15.995117,29,0.89697266
130,0,0.14794922,0.582015,0.6683251,0.4444447,0.6666667,0.2535211,0,0.98847455,0.6666667,1,16.001953,29,0.8959961
131,0,0.14941406,0.5807352,0.66830975,0.4444447,0.6666667,0.2511628,0,0.98847455,0.6666667,1,16.00586,29,0.89501953
132,0,0.15039063,0.58010423,0.6683022,0.4444447,0.6666667,0.25,0,0.98847455,0.6666667,1,15.993164,29,0.89453125
133,1,0.15136719,0.57958776,0.6682872,0.4444447,0.6666667,0.24770643,0,0.98847455,0.6666667,1,15.992676,29,0.8935547
134,1,0.15234375,0.5833406,0.66827255,0.4444447,0.6666667,0.25454545,0,0.98847455,0.6666667,1,16.003418,29,0.8925781
135,1,0.15332031,0.583911,0.6682653,0.4444447,0.6666667,0.25339368,0,0.98847455,0.6666667,1,15.993164,29,0.89208984
136,1,0.15576172,0.58385247,0.66825813,0.43844995,0.6666667,0.25225225,0,0.98847455,0.6666667,1,15.989258,29,0.89160156
137,1,0.15673828,0.5856566,0.66824394,0.43844995,0.6666667,0.2544643,0,0.98847455,0.6666667,1,15.977051,29,0.890625
138,1,0.1586914,0.5855792,0.66823006,0.43844995,0.6666667,0.25221238,0,0.98847455,0.6666667,1,15.957031,29,0.88964844
139,1,0.15966797,0.58739555,0.6682232,0.43844995,0.6666667,0.2555066,0,0.98847455,0.6666667,1,15.960449,29,0.88916016
140,1,0.16064453,0.5909512,0.6682096,0.43844995,0.6666667,0.26200873,0,0.98847455,0.6666667,1,15.977539,29,0.8881836
141,1,0.16210938,0.59026206,0.66820294,0.43844995,0.6666667,0.26086956,0,0.98847455,0.6666667,1,15.987793,29,0.8876953
142,1,0.16308594,0.5902942,0.6682096,0.43844995,0.6666667,0.26200873,0,0.98847455,0.6666667,1,15.984375,29,0.8881836
143,1,0.16503906,0.5884981,0.6682096,0.43844995,0.6666667,0.2576419,0,0.98847455,0.6666667,1,15.977539,29,0.8881836
144,1,0.16552734,0.5885619,0.66820294,0.43844995,0.6666667,0.25652173,0,0.98847455,0.6666667,1,15.981445,29,0.8876953
145,1,0.16748047,0.58846146,0.66818976,0.43844995,0.6666667,0.25431034,0,0.98847455,0.6666667,1,15.974609,29,0.88671875
146,1,0.16845703,0.5883627,0.6681768,0.43844995,0.6666667,0.25213677,0,0.98847455,0.6666667,1,15.955078,29,0.8857422
147,1,0.1694336,0.588314,0.66817033,0.43844995,0.6666667,0.25106382,0,0.98847455,0.6666667,1,15.961426,29,0.8852539
148,1,0.17041016,0.5882178,0.6681577,0.43844995,0.6666667,0.24894515,0,0.98847455,0.6666667,1,15.95459,29,0.88427734
