%  label: Unnamed trial, 17/03/22 02-30-00
%  population_size: 1024
%  mutation_rate: 0.45
%  max_generations: 200000
%  selection_method: Tournement
%  t_size: 4
%  brood_size: 2
%  min_start_len: 2
%  max_start_len: 32
%  max_len: 256
%  fit_goal: 0
%  cuck_rate: 0.15
%  threads: 8
%  num_demes: 4
%  migration: 0.1
%  use_viscosity: true
%  outregs: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
%  inregs: [0, 1, 2, 3]
%  binary_path: /home/oblivia/Projects/roper/data/tomato-RT-N18U-httpd

ITERATION,AVG-GEN,AVG-FIT,AVG-CRASH,BEST-GEN,BEST-FIT,BEST-CRASH,AVG-LENGTH,BEST-LENGTH,UNSEEN
1,0.001953125,0.76560843,1,0,0.7415453,1,16.888672,11,0.9980469
2,0.00390625,0.75758743,1,0,0.7415453,1,16.871094,11,0.9970703
3,0.005859375,0.7781871,1,0,0.7415453,1,16.86621,11,0.9951172
4,0.0078125,0.76771796,1,0,0.7415453,1,16.857422,11,0.99316406
5,0.009765625,0.77655727,1,0,0.7214552,1,16.868164,27,0.99121094
6,0.01171875,0.76812536,1,0,0.71881807,1,16.875977,22,0.9892578
7,0.013671875,0.7705259,1,0,0.6977908,1,16.875977,17,0.9873047
8,0.015625,0.76131296,1,0,0.64154536,1,16.874023,9,0.9863281
9,0.017578125,0.76728475,1,0,0.64154536,1,16.889648,9,0.984375
10,0.01953125,0.76442486,1,0,0.64154536,1,16.916016,9,0.9824219
11,0.021484375,0.76213694,1,0,0.64154536,1,16.907227,9,0.98046875
12,0.0234375,0.760265,1,0,0.64154536,1,16.950195,9,0.9785156
13,0.025390625,0.757884,1,0,0.64154536,1,16.949219,9,0.9765625
14,0.02734375,0.7541304,1,0,0.64154536,1,16.9375,9,0.9746094
15,0.029296875,0.7446123,0.96428573,0,0.500209,0,16.911133,3,0.97265625
16,0.03125,0.7281164,0.93333334,0,0.25810552,0,16.876953,24,0.9707031
17,0.033203125,0.7368868,0.9354839,0,0.25810552,0,16.881836,24,0.96972656
18,0.03515625,0.7460641,0.93939394,0,0.25810552,0,16.847656,24,0.96777344
19,0.037109375,0.7458059,0.94285715,0,0.25810552,0,16.878906,24,0.9658203
20,0.0390625,0.74568754,0.9444444,0,0.25810552,0,16.889648,24,0.96484375
21,0.041015625,0.74546957,0.94736844,0,0.25810552,0,16.885742,24,0.9628906
22,0.04296875,0.7474183,0.95,0,0.25810552,0,16.874023,24,0.9609375
23,0.044921875,0.7471386,0.95238096,0,0.25810552,0,16.858398,24,0.9589844
24,0.046875,0.74589,0.95454544,0,0.25810552,0,16.845703,24,0.95703125
25,0.048828125,0.74727046,0.95555556,0,0.25810552,0,16.838867,24,0.9560547
26,0.05078125,0.74702686,0.9574468,0,0.25810552,0,16.808594,24,0.95410156
27,0.052734375,0.7469127,0.9583333,0,0.25810552,0,16.785156,24,0.953125
28,0.0546875,0.74942327,0.96,0,0.25810552,0,16.80664,24,0.9511719
29,0.056640625,0.7505449,0.96153843,0,0.25810552,0,16.829102,24,0.94921875
30,0.05859375,0.73146445,0.9259259,0,0.17720826,0,16.782227,23,0.9472656
31,0.060546875,0.7195476,0.91071427,0,0.0977908,0,16.801758,18,0.9453125
32,0.060546875,0.69937617,0.87931037,0,0.0069491905,0,16.791016,22,0.9433594
33,0.0625,0.70447147,0.88135594,0,0.0069491905,0,16.77539,22,0.9423828
34,0.064453125,0.705687,0.8852459,0,0.0069491905,0,16.75879,22,0.9404297
35,0.06640625,0.7094056,0.8888889,0,0.0069491905,0,16.75293,22,0.93847656
36,0.068359375,0.7100449,0.8923077,0,0.0069491905,0,16.763672,22,0.93652344
37,0.0703125,0.7103322,0.8955224,0,0.0069491905,0,16.773438,22,0.9345703
38,0.072265625,0.7094026,0.89855075,0,0.0069491905,0,16.783203,22,0.9326172
39,0.07421875,0.70399797,0.8873239,0,0.0069491905,0,16.802734,22,0.93066406
40,0.076171875,0.69865805,0.8767123,0,0.0069491905,0,16.760742,22,0.92871094
41,0.078125,0.6968076,0.8767123,0,0.0069491905,0,16.750977,22,0.92871094
42,0.080078125,0.69800067,0.88,0,0.0069491905,0,16.780273,22,0.9267578
43,0.08203125,0.7005332,0.8831169,0,0.0069491905,0,16.779297,22,0.9248047
44,0.083984375,0.70157146,0.886076,0,0.0069491905,0,16.805664,22,0.92285156
45,0.0859375,0.7025585,0.8888889,0,0.0069491905,0,16.799805,22,0.92089844
46,0.087890625,0.70250034,0.8902439,0,0.0069491905,0,16.80371,22,0.9199219
47,0.08984375,0.69628716,0.88095236,0,0.0069491905,0,16.824219,22,0.91796875
48,0.091796875,0.68976074,0.87058824,0,0.0069491905,0,16.81543,22,0.9169922
49,0.095703125,0.6945667,0.87356323,0,0.0069491905,0,16.848633,22,0.91503906
50,0.099609375,0.6921636,0.875,0,0.0069491905,0,16.859375,22,0.9140625
51,0.10253906,0.6921045,0.8764045,0,0.0069491905,0,16.832031,22,0.91308594
52,0.10449219,0.6931911,0.8791209,0,0.0069491905,0,16.82129,22,0.9111328
53,0.10644531,0.6877794,0.87096775,0,0.0069491905,0,16.802734,22,0.9091797
54,0.107421875,0.6819684,0.86170214,0,0.0069491905,0,16.80371,22,0.9082031
55,0.109375,0.6721167,0.84375,0,0.0069491905,0,16.807617,22,0.90625
56,0.111328125,0.6674112,0.8367347,0,0.0069491905,0,16.832031,22,0.9042969
57,0.11328125,0.6685202,0.83838385,0,0.0069491905,0,16.850586,22,0.9033203
58,0.115234375,0.6685202,0.8181818,0,0.0069491905,0,16.84668,22,0.9033203
59,0.11621094,0.66777503,0.8061224,0,0.0069491905,0,16.847656,22,0.9042969
60,0.1171875,0.66399485,0.7979798,0,0.0069491905,0,16.83789,22,0.9033203
61,0.119140625,0.66012114,0.78,0,0.0069491905,0,16.804688,22,0.90234375
62,0.123046875,0.65583533,0.7745098,0,0.0069491905,0,16.800781,22,0.9003906
63,0.12695313,0.6517144,0.7692308,0,0.0069491905,0,16.798828,22,0.8984375
64,0.12890625,0.64722836,0.7641509,0,0.0069491905,0,16.797852,22,0.8964844
65,0.13085938,0.64722836,0.754717,0,0.0069491905,0,16.801758,22,0.8964844
66,0.13476563,0.648975,0.7592593,0,0.0069491905,0,16.83789,22,0.89453125
67,0.13671875,0.6506581,0.76363635,0,0.0069491905,0,16.829102,22,0.8925781
68,0.13769531,0.6522811,0.76785713,0,0.0069491905,0,16.84082,22,0.890625
69,0.13964844,0.65211606,0.7699115,0,0.0069491905,0,16.842773,22,0.88964844
70,0.14160156,0.6525167,0.7719298,0,0.0069491905,0,16.87207,22,0.8886719
71,0.14355469,0.6525167,0.7631579,0,0.0069491905,0,16.896484,22,0.8886719
72,0.14550781,0.64459723,0.75,0,0.0069491905,0,16.879883,22,0.88671875
73,0.14941406,0.6462404,0.7542373,0,0.0069491905,0,16.899414,22,0.8847656
74,0.15136719,0.6470414,0.7478992,0,0.0069491905,0,16.902344,22,0.88378906
75,0.15332031,0.6486034,0.75206614,0,0.0069491905,0,16.925781,22,0.88183594
76,0.15722656,0.6501019,0.75609756,0,0.0069491905,0,16.954102,22,0.8798828
77,0.15917969,0.65115935,0.76,0,0.0069491905,0,16.95996,22,0.8779297
78,0.16113281,0.65115935,0.744,0,0.0069491905,0,16.955078,22,0.8779297
79,0.1640625,0.6478583,0.7401575,0,0.0069491905,0,16.958984,22,0.87597656
80,0.16796875,0.65060943,0.7421875,0,0.0069491905,0,17.007813,22,0.875
81,0.171875,0.65131444,0.7364341,0,0.0069491905,0,17.032227,22,0.87402344
82,0.17382813,0.65200853,0.73846155,0,0.0069491905,0,17.03711,22,0.8730469
83,0.17578125,0.652692,0.73282444,0,0.0069491905,0,17.030273,22,0.8720703
84,0.17773438,0.65476346,0.7368421,0,0.0069491905,0,17.02539,22,0.8701172
85,0.1796875,0.6556189,0.7407407,0,0.0069491905,0,17.072266,22,0.86816406
86,0.18164063,0.65258366,0.7352941,0,0.0069491905,0,17.072266,22,0.8671875
87,0.18359375,0.65258366,0.7352941,0,0.0069491905,0,17.047852,22,0.8671875
88,0.18652344,0.6497043,0.729927,0,0.0069491905,0,17.029297,22,0.86621094
89,0.1875,0.65147114,0.73188406,0,0.0069491905,0,17.018555,22,0.8652344
90,0.1875,0.6538435,0.73571426,0,0.0069491905,0,17.03711,22,0.86328125
91,0.19042969,0.65507877,0.7394366,0,0.0069491905,0,17.010742,22,0.8613281
92,0.19238281,0.65568346,0.74125874,0,0.0069491905,0,17.03711,22,0.86035156
93,0.19335938,0.6578439,0.74482757,0,0.0069491905,0,17.073242,22,0.85839844
94,0.1953125,0.65962404,0.7482993,0,0.0069491905,0,17.048828,22,0.8564453
95,0.19726563,0.6585469,0.7432432,0,0.0069491905,0,17.041016,22,0.85546875
96,0.20117188,0.65475625,0.74,0,0.0069491905,0,17.021484,22,0.8535156
97,0.203125,0.6585985,0.7434211,0,0.0069491905,0,17.076172,22,0.8515625
98,0.20898438,0.6591405,0.74509805,0,0.0069491905,0,17.070313,22,0.85058594
99,0.21289063,0.6599216,0.7483871,0,0.0069491905,0,17.05664,22,0.8486328
100,0.21484375,0.65810776,0.7452229,0,0.0069491905,0,17.045898,22,0.8466797
101,0.21582031,0.65580034,0.74050635,0,0.0069491905,0,17.057617,22,0.8457031
102,0.21777344,0.65352196,0.7295597,0,0.0069491905,0,17.057617,22,0.84472656
103,0.22070313,0.6540721,0.73125,0,0.0069491905,0,17.036133,22,0.84375
104,0.22460938,0.6553873,0.7329193,0,0.0069491905,0,17.02246,22,0.84277344
105,0.22949219,0.655152,0.7345679,0,0.0069491905,0,17.00586,22,0.8417969
106,0.22949219,0.6562056,0.7378049,0,0.0069491905,0,17.023438,22,0.83984375
107,0.23242188,0.65723383,0.7409639,0,0.0069491905,0,16.980469,22,0.8378906
108,0.23632813,0.6597759,0.74404764,0,0.0069491905,0,17.009766,22,0.8359375
109,0.2421875,0.660573,0.7470588,0,0.0069491905,0,17.017578,22,0.8339844
110,0.24414063,0.660573,0.7352941,0,0.0069491905,0,17.010742,22,0.8339844
111,0.24609375,0.66116446,0.7383721,0,0.0069491905,0,17.021484,22,0.83203125
112,0.25,0.6624473,0.7398844,0,0.0069491905,0,17.058594,22,0.8310547
113,0.25195313,0.6637753,0.7356322,0,0.0069491905,0,17.032227,22,0.8300781
114,0.2529297,0.6646591,0.7386364,0,0.0069491905,0,17.029297,22,0.828125
115,0.25390625,0.6636837,0.73595506,0,0.0069491905,0,17.010742,22,0.8261719
116,0.25585938,0.662258,0.73333335,0,0.0069491905,0,17.007813,22,0.82421875
117,0.2578125,0.662258,0.73333335,0,0.0069491905,0,16.980469,22,0.82421875
118,0.26171875,0.65938115,0.7237569,0,0.0069491905,0,16.960938,22,0.8232422
119,0.26367188,0.65653586,0.7197802,0,0.0069491905,0,16.96875,22,0.8222656
120,0.26757813,0.65656614,0.72131145,0,0.0069491905,0,16.944336,22,0.82128906
121,0.27441406,0.6574848,0.72432435,0,0.0069491905,0,16.923828,22,0.81933594
122,0.27539063,0.6579368,0.72043014,0,0.0069491905,0,16.87793,22,0.8183594
123,0.27929688,0.65882623,0.7234042,0,0.0069491905,0,16.859375,22,0.81640625
124,0.28125,0.6592639,0.7195767,0,0.0069491905,0,16.84082,22,0.8154297
125,0.28320313,0.6582206,0.7195767,0,0.0069491905,0,16.874023,22,0.8154297
126,0.28515625,0.6600194,0.7157895,0,0.0069491905,0,16.896484,22,0.8144531
127,0.28710938,0.65958804,0.7089947,0,0.0069491905,0,16.90625,22,0.8154297
128,0.29296875,0.65453696,0.7015707,0,0.0069491905,0,16.89746,22,0.81347656
129,0.2939453,0.6554386,0.7046632,0,0.0069491905,0,16.916992,22,0.81152344
130,0.29589844,0.65632176,0.7076923,0,0.0069491905,0,16.887695,22,0.8095703
131,0.29785156,0.6566881,0.7091837,0,0.0069491905,0,16.854492,22,0.80859375
132,0.3017578,0.6541791,0.70408165,0,0.0069491905,0,16.829102,22,0.80859375
133,0.30273438,0.65180707,0.6989796,0,0.0069491905,0,16.813477,22,0.80859375
134,0.3046875,0.6499026,0.6903553,0,0.0069491905,0,16.830078,22,0.8076172
135,0.30859375,0.6491465,0.68686867,0,0.0069491905,0,16.811523,22,0.8066406
136,0.31152344,0.6468214,0.685,0,0.0069491905,0,16.807617,22,0.8046875
137,0.31347656,0.6475531,0.6865672,0,0.0069491905,0,16.801758,22,0.80371094
138,0.3154297,0.6475531,0.68159205,0,0.0069491905,0,16.83789,22,0.80371094
139,0.32128906,0.6484792,0.68472904,0,0.0069491905,0,16.871094,22,0.8017578
140,0.3251953,0.65004617,0.6878049,0,0.0069491905,0,16.874023,22,0.7998047
141,0.32910156,0.6509302,0.69082123,0,0.0069491905,0,16.861328,22,0.79785156
142,0.33496094,0.65244365,0.6937799,0,0.0069491905,0,16.889648,22,0.79589844
143,0.33691406,0.6503,0.68899524,0,0.0069491905,0,16.88379,22,0.79589844
144,0.3408203,0.6503,0.68899524,0,0.0069491905,0,16.88379,22,0.79589844
145,0.34375,0.6503,0.68421054,0,0.0069491905,0,16.896484,22,0.79589844
146,0.34765625,0.64904165,0.6824645,0,0.0069491905,0,16.90039,22,0.7939453
147,0.35058594,0.64691836,0.67772514,0,0.0069491905,0,16.888672,22,0.7939453
148,0.35351563,0.64479506,0.6729858,0,0.0069491905,0,16.914063,22,0.7939453
149,0.3544922,0.64267176,0.66824645,0,0.0069491905,0,16.938477,22,0.7939453
150,0.35546875,0.6409452,0.6650943,0,0.0069491905,0,16.941406,22,0.79296875
151,0.3564453,0.63788706,0.6619718,0,0.0069491905,0,16.955078,22,0.7919922
152,0.35839844,0.63837147,0.6635514,0,0.0069491905,0,16.953125,22,0.7910156
153,0.36035156,0.6394796,0.66511625,0,0.0069491905,0,16.978516,22,0.79003906
154,0.3642578,0.6394796,0.65581393,0,0.0069491905,0,16.986328,22,0.79003906
155,0.37109375,0.63995206,0.6574074,0,0.0069491905,0,16.96289,22,0.7890625
156,0.37402344,0.64088416,0.6605505,0,0.0069491905,0,16.987305,22,0.7871094
157,0.3798828,0.6413438,0.65753424,0,0.0069491905,0,17,22,0.7861328
158,0.38378906,0.64190125,0.6606335,0,0.0069491905,0,16.97168,22,0.7841797
159,0.3876953,0.6414484,0.65909094,0,0.0069491905,0,16.953125,22,0.78515625
160,0.39160156,0.6391863,0.6561086,0,0.0069491905,0,16.958008,22,0.7841797
161,0.3935547,0.6394894,0.6576577,0,0.0069491905,0,17.014648,22,0.7832031
162,0.39941406,0.640049,0.66071427,0,0.0069491905,0,17.029297,22,0.78125
163,0.40527344,0.64102286,0.65929204,0,0.0069491905,0,17.017578,22,0.7792969
164,0.4091797,0.6405761,0.6577778,0,0.0069491905,0,17.006836,22,0.78027344
165,0.41308594,0.6385849,0.6533333,0,0.0069491905,0,16.976563,22,0.78027344
166,0.41308594,0.63695866,0.6504425,0,0.0069491905,0,16.929688,22,0.7792969
167,0.41503906,0.6347762,0.6475771,0,0.0069491905,0,16.902344,22,0.7783203
168,0.41601563,0.63524455,0.64912283,0,0.0069491905,0,16.90039,22,0.77734375
169,0.41796875,0.63570875,0.65065503,0,0.0069491905,0,16.890625,22,0.7763672
170,0.4267578,0.63616884,0.65217394,0,0.0069491905,0,16.888672,22,0.7753906
171,0.42871094,0.6381913,0.6551724,0,0.0069491905,0,16.862305,22,0.7734375
172,0.43066406,0.63760906,0.6551724,0,0.0069491905,0,16.856445,22,0.7734375
173,0.43359375,0.6384975,0.6581197,0,0.0069491905,0,16.828125,22,0.7714844
174,0.4375,0.63893604,0.65957445,0,0.0069491905,0,16.819336,22,0.7705078
175,0.43847656,0.63740075,0.65254235,0,0.0069491905,0,16.822266,22,0.76953125
176,0.44628906,0.635459,0.64978904,0,0.0069491905,0,16.813477,22,0.7685547
177,0.45117188,0.637432,0.6527197,0,0.0069491905,0,16.794922,22,0.76660156
178,0.453125,0.637432,0.6527197,0,0.0069491905,0,16.791016,22,0.76660156
179,0.4560547,0.6378658,0.65416664,0,0.0069491905,0,16.800781,22,0.765625
180,0.4580078,0.63829595,0.6514523,0,0.0069491905,0,16.810547,22,0.76464844
181,0.4609375,0.6385419,0.6528926,0,0.0069491905,0,16.831055,22,0.7636719
182,0.46484375,0.6392068,0.6557377,0,0.0069491905,0,16.802734,22,0.76171875
183,0.47070313,0.6375997,0.6544715,0,0.0069491905,0,16.77246,22,0.7597656
184,0.47460938,0.638165,0.65587044,0,0.0069491905,0,16.807617,22,0.75878906
185,0.47851563,0.6400334,0.65863454,0,0.0069491905,0,16.764648,22,0.75683594
186,0.484375,0.641872,0.6613546,0,0.0069491905,0,16.768555,22,0.7548828
187,0.4873047,0.64246017,0.6640316,0,0.0069491905,0,16.793945,22,0.7529297
188,0.48828125,0.6426022,0.6614173,0,0.0069491905,0,16.807617,22,0.7519531
189,0.49414063,0.6406824,0.65625,0,0.0069491905,0,16.80371,22,0.75
190,0.49804688,0.6406824,0.65625,0,0.0069491905,0,16.823242,22,0.75
191,0.5,0.6367955,0.6498054,0,0.0069491905,0,16.792969,22,0.74902344
192,0.5019531,0.63527626,0.64728683,0,0.0069491905,0,16.825195,22,0.7480469
193,0.5048828,0.6360937,0.65,0,0.0069491905,0,16.816406,22,0.74609375
194,0.5058594,0.6364977,0.6475096,0,0.0069491905,0,16.828125,22,0.7451172
195,0.50683594,0.637359,0.6450382,0,0.0069491905,0,16.824219,22,0.7441406
196,0.50878906,0.6382697,0.6425856,0,0.0069491905,0,16.801758,22,0.74316406
197,0.5126953,0.6373599,0.64122134,0,0.0069491905,0,16.827148,22,0.7441406
198,0.51464844,0.63798344,0.6439394,0,0.0069491905,0,16.825195,22,0.7421875
199,0.51660156,0.638182,0.64528304,0,0.0069491905,0,16.783203,22,0.74121094
200,0.5214844,0.6369631,0.64528304,0,0.0069491905,0,16.80957,22,0.74121094
201,0.5253906,0.6379954,0.6479401,0,0.0069491905,0,16.774414,22,0.7392578
202,0.5292969,0.63793206,0.6441948,0,0.0069491905,0,16.736328,22,0.7392578
203,0.53125,0.6383187,0.64179105,0,0.0069491905,0,16.723633,22,0.73828125
204,0.5371094,0.63853985,0.6431227,0,0.0069491905,0,16.717773,22,0.7373047
205,0.5390625,0.6381135,0.6431227,0,0.0069491905,0,16.735352,22,0.7373047
206,0.5419922,0.63683724,0.63703704,0,0.0069491905,0,16.730469,22,0.7363281
207,0.53808594,0.63683724,0.6333333,0,0.0069491905,0,16.746094,22,0.7363281
208,0.5419922,0.63490933,0.6296296,0,0.0069491905,0,16.808594,22,0.7363281
209,0.54785156,0.63477725,0.6259259,0,0.0069491905,0,16.833984,22,0.7363281
210,0.5517578,0.6355624,0.6286765,0,0.0069491905,0,16.854492,22,0.734375
211,0.55371094,0.6359506,0.63003665,0,0.0069491905,0,16.84375,22,0.73339844
212,0.5595703,0.6360543,0.6277372,0,0.0069491905,0,16.827148,22,0.7324219
213,0.56152344,0.63347,0.62271065,0,0.0069491905,0,16.84668,22,0.73339844
214,0.5644531,0.6317744,0.620438,0,0.0069491905,0,16.854492,22,0.7324219
215,0.5673828,0.6301393,0.6167883,0,0.0069491905,0,16.85254,22,0.7324219
216,0.56640625,0.6301393,0.6167883,0,0.0069491905,0,16.855469,22,0.7324219
217,0.5722656,0.6301393,0.609489,0,0.0069491905,0,16.887695,22,0.7324219
218,0.5761719,0.6305444,0.6109091,0,0.0069491905,0,16.871094,22,0.7314453
219,0.578125,0.63171405,0.6137184,0,0.0069491905,0,16.881836,22,0.7294922
220,0.5800781,0.63171405,0.6137184,0,0.0069491905,0,16.879883,22,0.7294922
221,0.5839844,0.6323445,0.61648744,0,0.0069491905,0,16.875977,22,0.72753906
222,0.5859375,0.6323445,0.61648744,0,0.0069491905,0,16.86914,22,0.72753906
223,0.5888672,0.63110965,0.6142857,0,0.0069491905,0,16.886719,22,0.7265625
224,0.59375,0.62898105,0.61290324,0,0.0069491905,0,16.895508,22,0.72753906
225,0.5957031,0.63059646,0.61565834,0,0.0069491905,0,16.881836,22,0.72558594
226,0.59765625,0.63098997,0.6134752,0,0.0069491905,0,16.899414,22,0.7246094
227,0.60546875,0.6314967,0.61619717,0,0.0069491905,0,16.890625,22,0.72265625
228,0.60546875,0.6299192,0.6126761,0,0.0069491905,0,16.896484,22,0.72265625
229,0.61035156,0.6290742,0.6118881,0,0.0069491905,0,16.876953,22,0.7207031
230,0.61621094,0.6286252,0.6097561,0,0.0069491905,0,16.867188,22,0.71972656
231,0.62109375,0.626934,0.6076389,0,0.0069491905,0,16.914063,22,0.71875
232,0.62402344,0.6235865,0.6034483,0,0.0069491905,0,16.916016,22,0.7167969
233,0.625,0.6235865,0.6,0,0.0069491905,0,16.916016,22,0.7167969
234,0.625,0.6243944,0.60273975,0,0.0069491905,0,16.910156,22,0.71484375
235,0.62890625,0.62515056,0.60544217,0,0.0069491905,0,16.881836,22,0.7128906
236,0.6308594,0.62554514,0.60338986,0,0.0069491905,0,16.88086,22,0.71191406
237,0.6347656,0.62481785,0.6026936,0,0.0069491905,0,16.893555,22,0.70996094
238,0.63671875,0.6252095,0.60402685,0,0.0069491905,0,16.90039,22,0.7089844
239,0.64746094,0.6237112,0.6020067,0,0.0069491905,0,16.879883,22,0.7080078
240,0.6464844,0.6233158,0.6006711,0,0.0069491905,0,16.863281,22,0.7089844
241,0.6503906,0.6237112,0.5986622,0,0.0069491905,0,16.867188,22,0.7080078
242,0.65625,0.62309146,0.6,0,0.0069491905,0,16.879883,22,0.70703125
243,0.6591797,0.6232285,0.59800667,0,0.0069491905,0,16.871094,22,0.7060547
244,0.6611328,0.62203306,0.5960265,0,0.0069491905,0,16.858398,22,0.7050781
245,0.6669922,0.61931115,0.5907591,0,0.0069491905,0,16.858398,22,0.70410156
246,0.67089844,0.61691964,0.58278143,0,0.0069491905,0,16.87207,22,0.7050781
247,0.6767578,0.6149527,0.5808581,0,0.0069491905,0,16.890625,22,0.70410156
248,0.67871094,0.61590713,0.58471763,0,0.0069491905,0,16.873047,22,0.7060547
249,0.6826172,0.61703146,0.5874587,0,0.0069491905,0,16.874023,22,0.70410156
250,0.6845703,0.61703146,0.5808581,0,0.0069491905,0,16.886719,22,0.70410156
251,0.68359375,0.6166191,0.57615894,0,0.0069491905,0,16.888672,22,0.7050781
252,0.6845703,0.61703146,0.57425743,0,0.0069491905,0,16.895508,22,0.70410156
253,0.6904297,0.61530054,0.57236844,0,0.0069491905,0,16.902344,22,0.703125
254,0.6953125,0.6131829,0.5690789,0,0.0069491905,0,16.91504,22,0.703125
255,0.69628906,0.6114931,0.5672131,0,0.0069491905,0,16.942383,22,0.70214844
